"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,CASES per Test, Death in Closed Cases ,Rank by Testing rate,Rank by Death rate,Rank by Cases rate,Rank by Death of Closed Cases
World,22849844,267351,796376,6186,15508345,6545123,61822,2931,102,,,, 0.0488 ,,52,80,61
USA,5746272,45341,177424,1090,3095484,2473364,16817,17346,536,73868332,222984,331272237, 0.0542 ,19,10,8,53
Brazil,3505097,44684,112423,1234,2653407,739267,8318,16474,528,13748152,64616,212768400, 0.0406 ,71,11,10,82
India,2904329,68507,54975,981,2157941,691413,8944,2102,40,32661252,23636,1381863561, 0.0248 ,123,87,90,121
Russia,942106,4785,16099,110,755513,170494,2300,6455,110,33500000,229541,145943309, 0.0209 ,17,49,39,140
South Africa,599940,3880,12618,195,497169,90153,539,10098,212,3480283,58581,59410167, 0.0248 ,82,30,20,123
Peru,567059,8639,27034,200,380730,159295,1519,17166,818,2852011,86336,33033892, 0.0663 ,58,3,9,38
Mexico,537031,5792,58481,707,367537,111013,3480,4159,453,1211552,9383,129117943, 0.1373 ,153,13,57,16
Colombia,513719,11541,16183,204,339124,158412,1493,10081,318,2374898,46606,50956995, 0.0455 ,91,20,21,65
Spain,404229,3349,28813,16,0,0,522,8645,616,7955615,170147,46757339, 1.0000 ,29,5,25,1
Chile,391849,1812,10671,93,366063,15115,1077,20474,558,2113632,110437,19138783, 0.0283 ,48,9,5,110
Iran,352558,2279,20264,139,304236,28058,3869,4190,241,2939840,34940,84138745, 0.0624 ,108,25,56,41
UK,322280,1182,41403,6,0,0,70,4744,609,15177265,223407,67935641, 1.0000 ,18,6,53,1
Argentina,320884,8225,6517,187,233651,80716,1832,7091,144,1030992,22783,45252733, 0.0271 ,127,40,33,113
Saudi Arabia,303973,1287,3548,42,275476,24949,1682,8713,102,4501104,129021,34886672, 0.0127 ,39,53,24,163
Pakistan,290958,513,6209,8,272804,11945,725,1314,28,2363752,10673,221460187, 0.0223 ,148,100,109,134
Bangladesh,287959,2868,3822,41,168991,115146,,1746,23,1407556,8535,164914115, 0.0221 ,156,107,95,135
Italy,256118,840,35418,6,204686,16014,68,4237,586,7790596,128878,60449180, 0.1475 ,40,7,55,12
Turkey,254520,1412,6058,19,234797,13665,735,3013,72,6061930,71770,84463026, 0.0252 ,65,63,79,119
Germany,231284,1584,9324,10,204800,17160,231,2759,111,10197366,121656,83821481, 0.0435 ,43,48,83,75
France,229814,4771,30480,12,84065,115269,384,3520,467,6000000,91892,65293815, 0.2661 ,56,12,70,8
Iraq,192797,3995,6208,87,137200,49389,614,4779,154,1368727,33929,40340634, 0.0433 ,110,38,52,76
Philippines,177579,3896,2881,86,113903,60795,717,1618,26,2193448,19981,109778515, 0.0247 ,129,101,99,124
Indonesia,147211,2266,6418,72,100674,40119,,537,23,1969941,7192,273918933, 0.0599 ,163,107,147,44
Canada,123873,383,9054,5,110288,4531,61,3278,240,4974215,131636,37787666, 0.0759 ,37,26,76,34
Qatar,116224,268,193,,112924,3107,64,41393,69,572273,203815,2807805, 0.0017 ,23,65,1,191
Ecuador,105508,1033,6200,54,87660,11648,331,5968,351,297376,16821,17679078, 0.0661 ,134,19,44,40
Bolivia,105050,2031,4233,61,39965,60852,71,8983,362,222251,19005,11694550, 0.0958 ,130,16,23,25
Kazakhstan,103815,244,1415,,86450,15950,221,5520,75,2291327,121832,18807256, 0.0161 ,42,62,47,152
Israel,99599,1630,795,14,74579,24225,389,10829,86,2180096,237029,9197590, 0.0105 ,16,57,19,169
Ukraine,98537,2134,2184,40,50441,45912,177,2255,50,1356698,31049,43695861, 0.0415 ,113,80,88,81
Egypt,97025,111,5212,15,63462,28351,41,946,51,135000,1316,102590466, 0.0759 ,189,78,124,33
Dominican Republic,89010,883,1505,4,57734,29771,288,8194,139,335478,30883,10862806, 0.0254 ,114,43,28,116
Sweden,85810,,5805,5,0,0,27,8489,574,1030010,101900,10108001, 1.0000 ,53,8,26,1
China,84895,7,4634,,79745,516,24,59,3,90410000,62814,1439323776, 0.0549 ,77,169,199,52
Panama,83855,101,1844,17,59174,22837,154,19393,426,287300,66445,4323882, 0.0302 ,69,14,6,101
Oman,83769,163,609,6,78386,4774,151,16350,119,309212,60353,5123430, 0.0077 ,79,46,11,174
Belgium,79479,582,9969,10,18078,51432,83,6854,860,2049976,176773,11596664, 0.3554 ,27,2,34,6
Kuwait,78767,622,509,2,70642,7616,94,18407,119,577588,134980,4279075, 0.0072 ,35,46,7,178
Romania,74963,1346,3154,48,34196,37613,489,3900,164,1591015,82783,19219141, 0.0844 ,60,35,61,28
Belarus,69950,149,627,5,67929,1394,,7403,66,1437110,152093,9448882, 0.0091 ,33,67,32,171
Guatemala,65983,1102,2506,39,54351,9126,5,3674,140,213204,11871,17959594, 0.0441 ,146,42,67,72
UAE,65802,461,369,2,58153,7280,,6642,37,6265918,632496,9906649, 0.0063 ,7,89,37,183
Netherlands,65054,529,6191,10,0,0,51,3795,361,1312787,76591,17140202, 1.0000 ,63,17,63,1
Poland,59378,767,1925,12,40481,16972,85,1569,51,2409394,63672,37840722, 0.0454 ,74,78,101,66
Japan,58501,951,1144,16,45266,12091,237,463,9,1259422,9962,126421114, 0.0246 ,152,137,154,125
Singapore,56099,68,27,0,53119,2953,,9579,5,1745928,298108,5856690, 0.0005 ,15,155,22,192
Portugal,54992,291,1788,2,40264,12940,39,5395,175,1880235,184473,10192461, 0.0425 ,26,34,49,80
Honduras,52298,628,1608,15,7867,42823,43,5269,162,127946,12890,9925734, 0.1697 ,142,36,50,9
Nigeria,50964,476,992,7,37569,12403,7,246,5,352625,1705,206802324, 0.0257 ,185,155,173,115
Bahrain,48303,353,179,1,44628,3496,37,28265,105,1011805,592064,1708944, 0.0040 ,8,51,3,188
Morocco,47638,1325,775,32,32806,14057,31,1289,21,1670569,45187,36970089, 0.0231 ,94,111,110,129
Ghana,43260,166,261,5,41276,1723,5,1388,8,431272,13841,31158344, 0.0063 ,141,141,106,184
Kyrgyzstan,42507,182,1498,0,35486,5523,24,6501,229,267718,40944,6538600, 0.0405 ,101,28,38,83
Armenia,42319,263,836,3,35476,6007,,14278,282,190560,64291,2964022, 0.0230 ,72,21,13,130
Algeria,40258,411,1411,9,28281,10566,41,916,32,,,43956407, 0.0475 ,,96,126,64
Switzerland,39026,266,1998,2,33900,3128,15,4505,231,910283,105073,8663370, 0.0557 ,50,27,54,51
Afghanistan,37856,257,1385,10,27681,8790,31,970,35,100138,2565,39043064, 0.0477 ,180,92,120,62
Venezuela,37567,699,311,8,26330,10926,85,1322,11,1678639,59056,28424431, 0.0117 ,80,133,108,164
Uzbekistan,37547,435,252,4,33261,4034,410,1120,8,1377915,41089,33534589, 0.0075 ,100,141,114,177
Ethiopia,35836,1778,620,20,13536,21680,216,311,5,694093,6018,115332992, 0.0438 ,168,155,165,73
Azerbaijan,34759,139,510,,32511,1738,,3424,50,855802,84301,10151735, 0.0154 ,59,80,74,154
Moldova,31937,522,921,7,21885,9131,362,7920,228,183923,45609,4032626, 0.0404 ,93,29,30,84
Kenya,31441,426,516,10,17869,13056,44,583,10,398585,7391,53926571, 0.0281 ,161,134,141,111
Costa Rica,31075,666,333,12,9939,20803,128,6093,65,126337,24769,5100508, 0.0324 ,121,69,41,94
Serbia,30209,161,689,5,27908,1612,52,3459,79,842441,96474,8732325, 0.0241 ,54,60,73,127
Nepal,29645,707,126,6,17964,11555,,1015,4,878622,30083,29206558, 0.0070 ,116,162,118,179
Ireland,27676,129,1776,1,23364,2536,6,5596,359,735598,148747,4945309, 0.0706 ,34,18,46,36
Austria,24431,347,729,,21093,2609,21,2710,81,1061437,117760,9013539, 0.0334 ,44,59,84,92
Australia,24236,243,463,13,17854,5919,51,949,18,5507605,215645,25540177, 0.0253 ,22,114,123,117
El Salvador,23964,247,640,7,11558,11766,391,3692,99,288307,44418,6490763, 0.0525 ,96,55,66,57
Czechia,21045,247,406,2,15886,4753,24,1965,38,820151,76565,10711777, 0.0249 ,64,88,91,120
Cameroon,18762,138,408,2,16540,1814,30,705,15,149000,5595,26631541, 0.0241 ,170,125,133,128
